"","x"
"1",7006
"2",2446
"3",4251
"4",5255
"5",2310
"6",236
"7",699
"8",8539
"9",9335
"10",4491
"11",8252
"12",5153
"13",2917
"14",8800
"15",9059
"16",1697
"17",8592
"18",4291
"19",3844
"20",5917
"21",5205
"22",169
"23",87
"24",4497
"25",7833
"26",7428
"27",8973
"28",1318
"29",2893
"30",1800
"31",1454
"32",3969
"33",4671
"34",4182
"35",5857
"36",8770
"37",9107
"38",8619
"39",2785
"40",7868
"41",9751
"42",8266
"43",9945
"44",3410
"45",8827
"46",9132
"47",5140
"48",4060
"49",5319
"50",5488
"51",8616
"52",9893
"53",486
"54",9840
"55",8783
"56",1263
"57",2800
"58",3530
"59",4421
"60",2307
"61",1216
"62",4929
"63",9584
"64",3086
"65",9465
"66",9280
"67",6978
"68",255
"69",9918
"70",5168
"71",6692
"72",3029
"73",2804
"74",4222
"75",7062
"76",808
"77",3556
"78",1191
"79",7065
"80",1245
"81",1289
"82",9512
"83",8384
"84",7423
"85",8878
"86",6658
"87",3281
"88",7100
"89",5465
"90",962
"91",2077
"92",6606
"93",6771
"94",5289
"95",3632
"96",3074
"97",1667
"98",8733
"99",5321
"100",8309
"101",9721
"102",8956
"103",4324
"104",6732
"105",7733
"106",7236
"107",2164
"108",9030
"109",3773
"110",5873
"111",2825
"112",646
"113",4554
"114",8522
"115",7591
"116",8129
"117",9533
"118",9977
"119",7659
"120",1872
"121",1604
"122",503
"123",5988
"124",8900
"125",2853
"126",5562
"127",8231
"128",515
"129",8163
"130",7579
"131",7380
"132",3453
"133",7514
"134",2889
"135",1966
"136",6909
"137",1925
"138",8246
"139",8713
"140",5454
"141",8478
"142",6943
"143",2710
"144",2558
"145",5969
"146",7161
"147",6549
"148",8840
"149",8905
"150",1983
"151",2513
"152",2478
"153",7295
"154",1412
"155",4579
"156",5448
"157",3340
"158",6117
"159",7620
"160",6877
"161",1708
"162",3597
"163",6974
"164",5907
"165",3859
"166",8449
"167",8810
"168",5972
"169",7325
"170",1150
"171",9549
"172",3067
"173",3590
"174",6123
"175",6599
"176",2989
"177",3014
"178",5888
"179",8175
"180",2682
"181",1865
"182",1484
"183",1498
"184",3328
"185",8931
"186",5649
"187",9508
"188",4678
"189",4964
"190",6554
"191",6616
"192",168
"193",9062
"194",8039
"195",1991
"196",9234
"197",3393
"198",7198
"199",9874
"200",2472
"201",1391
"202",7103
"203",8621
"204",9316
"205",1460
"206",6541
"207",8092
"208",3284
"209",4051
"210",3912
"211",2842
"212",504
"213",7593
"214",3706
"215",3973
"216",4665
"217",9908
"218",9428
"219",4067
"220",4698
"221",5757
"222",473
"223",6374
"224",7956
"225",7292
"226",6529
"227",6104
"228",3695
"229",5633
"230",4123
"231",7115
"232",5576
"233",6402
"234",119
"235",2159
"236",5225
"237",9786
"238",5516
"239",1110
"240",6895
"241",8746
"242",2165
"243",9045
"244",8062
"245",9168
"246",2875
"247",9320
"248",723
"249",8353
"250",3852
"251",3186
"252",8492
"253",7431
"254",9364
"255",131
"256",7213
"257",1549
"258",3048
"259",9877
"260",7051
"261",5461
"262",5965
"263",7917
"264",7760
"265",6351
"266",4248
"267",4148
"268",2296
"269",3139
"270",7797
"271",4278
"272",3202
"273",2031
"274",6688
"275",9304
"276",714
"277",6417
"278",6847
"279",747
"280",4736
"281",2257
"282",3065
"283",8058
"284",3856
"285",41
"286",7389
"287",6235
"288",5908
"289",1043
"290",6097
"291",8613
"292",101
"293",2711
"294",2753
"295",3711
"296",4262
"297",1695
"298",498
"299",8410
"300",9917
"301",7334
"302",1207
"303",8916
"304",9447
"305",3919
"306",251
"307",8642
"308",449
"309",8575
"310",3520
"311",7523
"312",3961
"313",8003
"314",3071
"315",3566
"316",5050
"317",7432
"318",3368
"319",6717
"320",5030
"321",2817
"322",2276
"323",2181
"324",820
"325",55
"326",1748
"327",6252
"328",9866
"329",1964
"330",3363
"331",1126
"332",5992
"333",3935
"334",9075
"335",2826
"336",1990
"337",1995
"338",1301
"339",6194
"340",2911
"341",2815
"342",7297
"343",8813
"344",4883
"345",213
"346",9242
"347",2539
"348",6944
"349",5695
"350",9676
"351",5658
"352",2451
"353",1116
"354",5669
"355",9275
"356",9279
"357",98
"358",1285
"359",5942
"360",1445
"361",1026
"362",2683
"363",7088
"364",6215
